011002,北海道,札幌市,サッポロシ,さっぽろ雪まつりと大通公園で有名,
012025,北海道,函館市,ハコダテシ,五稜郭と函館山の夜景が観光名所,
012033,北海道,小樽市,オタルシ,小樽運河とガラス工芸が人気,
012041,北海道,旭川市,アサヒカワシ,旭山動物園が全国的に有名,
012050,北海道,室蘭市,ムロランシ,白鳥大橋と工場夜景の名所,
012068,北海道,釧路市,クシロシ,釧路湿原国立公園とタンチョウの生息地,
012076,北海道,帯広市,オビヒロシ,ばんえい競馬と六花亭の本店がある,
012084,北海道,北見市,キタミシ,焼肉の街として知られ玉ねぎが特産,
012092,北海道,夕張市,ユウバリシ,夕張メロンが全国的に有名,
012106,北海道,岩見沢市,イワミザワシ,北海道グリーンランド遊園地がある,
012114,北海道,網走市,アバシリシ,博物館網走監獄とオホーツク流氷館,
012122,北海道,留萌市,ルモイシ,日本海に沈む夕日が絶景として知られる,
012131,北海道,苫小牧市,トマコマイシ,ホッキ貝の水揚げ量が日本一,
012149,北海道,稚内市,ワッカナイシ,日本最北端の宗谷岬がある,
012157,北海道,美唄市,ビバイシ,アルテピアッツァ美唄がある芸術の町,
012165,北海道,芦別市,アシベツシ,星の降る里として観光PRされている,
012173,北海道,江別市,エベツシ,煉瓦の街で江別煉瓦が有名,
012181,北海道,赤平市,アカビラシ,旧炭鉱街で炭鉱遺産と石炭博物館がある,
012190,北海道,紋別市,モンベツシ,流氷とガリンコ号による観光が有名,
012203,北海道,士別市,シベツシ,羊のまちとしてサフォーク種の飼育が盛ん,
012211,北海道,名寄市,ナヨロシ,なよろ雪質日本一フェスティバルの開催地,
012220,北海道,三笠市,ミカサシ,三笠鉄道村と旧炭鉱の歴史が学べる,
012238,北海道,根室市,ネムロシ,納沙布岬と花咲ガニが名物,
012246,北海道,千歳市,チトセシ,新千歳空港とサケのふるさと館がある,
012254,北海道,滝川市,タキカワシ,菜の花畑とグライダーのまちとして有名,
012262,北海道,砂川市,スナガワシ,スイーツロードと呼ばれる洋菓子店街がある,
012271,北海道,歌志内市,ウタシナイシ,日本一人口が少ない市,
012289,北海道,深川市,フカガワシ,そばの生産が盛んでそば祭りが開催される,
012297,北海道,富良野市,フラノシ,ラベンダー畑とドラマ『北の国から』の舞台,
012301,北海道,登別市,ノボリベツシ,登別温泉と地獄谷が全国的に知られる,
012319,北海道,恵庭市,エニワシ,花と緑のガーデンシティとして整備が進む,
012335,北海道,伊達市,ダテシ,有珠山と昭和新山への玄関口,同名の市が福島県に存在する。
012343,北海道,北広島市,キタヒロシマシ,エスコンフィールドHOKKAIDOがある,
012351,北海道,石狩市,イシカリシ,石狩鍋の発祥地として知られる,
012360,北海道,北斗市,ホクトシ,北海道新幹線の新函館北斗駅がある,
022012,青森県,青森市,アオモリシ,ねぶた祭と青森県立美術館が有名,
022021,青森県,弘前市,ヒロサキシ,弘前城と桜まつりが全国的に知られる,
022039,青森県,八戸市,ハチノヘシ,八食センターと館鼻岸壁朝市が名物,
022047,青森県,黒石市,クロイシシ,黒石つゆ焼きそばとこみせ通りが特色,
022055,青森県,五所川原市,ゴショガワラシ,立佞武多と太宰治記念館「斜陽館」がある,
022063,青森県,十和田市,トワダシ,十和田湖と十和田市現代美術館が観光地,
022071,青森県,三沢市,ミサワシ,三沢航空科学館と米軍基地がある,
022080,青森県,むつ市,ムツシ,恐山と大間マグロへの玄関口,
022098,青森県,つがる市,ツガルシ,遮光器土偶の出土地とメロンの産地,
022101,青森県,平川市,ヒラカワシ,猿賀神社とりんご公園がある,
032018,岩手県,盛岡市,モリオカシ,盛岡冷麺と石割桜が有名,
032026,岩手県,宮古市,ミヤコシ,浄土ヶ浜とリアス海岸の絶景,
